X,Y,OBJECTID,FACILITYID,NAME,SUBTYPEFIELD,FEATURECODE,FULLADDR,OPERDAYS,OPERHOURS,PARKAREA,PARKURL,NUMPARKING,RESTROOM,ADACOMPLY,CAMPING,SWIMMING,HIKING,FISHING,PICNIC,BOATING,HUNTING,ROADCYCLE,MTBCYCLE,PLAYGROUND,GOLF,SKI,SOCCER,BASEBALL,BASKETBALL,TENNIS,Shelter,Football
1515174.49932418,644107.563113682,1,FAC-1,Bakers Creek Park/Greenway - City of Kannapolis,820,Municipal Park,"1275 West A St, 704-920-4343",Sun - Sat,Hours Vary,40,http://www.kannapolisnc.gov/GovernmentDepartments/ParksRecreation/Parks/tabid/131/Default.aspx,0,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,,,
1517086.17857168,590589.513982013,2,FAC-6,Frank Liske Park - Cabarrus County,820,County Park,"4001 Stough Rd, 704-920-3350",Sun - Sat,"Mar 8-8,Apr-Oct 8-9,Nov-Feb M-F 8-5 S&S 9-5",238,https://www.cabarruscounty.us/location/frank-liske-park,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,,,
1572809.99921043,603840.000112221,3,FAC-19,McAllister Park,820,Park,8595 Park Dr,Sun - Sat,Hours Vary,,,0,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,,,
1525359.99896627,601560.000571176,4,FAC-12,Hartsell Park and Rec Center - City of Concord,820,Municipal Park,"60 Hartsell School Rd, 704-920-5600",Sun - Sat,"Apr-Oct 8-9, Nov-Mar 8-7",14,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,0,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,,,
1556114.61306387,626720.964438781,5,FAC-4,Camp Spencer - Cabarrus County,820,County Park,"3155 Rimer Rd, 704-920-3350",Sun - Sat,"Mar-Oct 8-8, Nov-Feb M - F 8-5 S&S 9–5",50,https://www.cabarruscounty.us/location/camp-t-n-spencer-park,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,,,
1516714.02503449,640329.186073996,6,FAC-25,Veterans Park - City of Kannapolis,820,Municipal Park,"119 Main St, , 704-920-4343",Sun - Sat,Hours Vary,,http://www.kannapolisnc.gov/GovernmentDepartments/ParksRecreation/Parks/tabid/131/Default.aspx,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,
1525919.99948668,616000.000808574,7,FAC-3,Beverly Hills Park - City of Concord,820,Municipal Park,"125 Palaside Dr  NE, 704-920-5600",Sun - Sat,"Apr-Oct 8-9, Nov-Mar 8-7",4,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,0,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,
1514096.87475699,641778.063179515,8,FAC-26,Village Park - City of Kannapolis,820,Municipal Park,"200 West C St, 704-920-4343",Sun - Sat,Hours Vary,,http://www.kannapolisnc.gov/GovernmentDepartments/ParksRecreation/Parks/tabid/131/Default.aspx,0,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,,
1527575.00027772,588814.74965097,9,FAC-27,W.W. Flowe Park - City of Concord,820,Municipal Park,"99 Central Heights Dr, 704-920-5600",Sun - Sat,"Apr-Oct 8-9, Nov-Mar 8-7",,https://www.concordnc.gov/Departments/Parks-Recreation/Facilities,0,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,,,
1495521.24466752,609713.535773262,10,FAC-2,Beach Springs Mt. Bike Park,820,Park,705 Goodman Rd,Sun - Sat,Hours Vary,,,0,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,
1518895.50894251,576145.137112953,11,FAC-22,Pharr Mill Road Park - Town of Harrisburg,820,Municipal Park,"6775 Pharr Mill Rd, 704-455-7275",Sun - Sat,6:30 am - 9pm,,https://www.harrisburgnc.org/departments/parks-recreation/parks-facilities/pharr-mill-park,0,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,,,
1505475.45294147,574249.458899722,12,FAC-11,Harrisburg Town Park - Town of Harrisburg,820,Municipal Park,"191 Sims Parkway, 704-455-7275",Sun - Sat,6:30 am - 9pm,,https://www.harrisburgnc.org/departments/parks-recreation/parks-facilities/harrisburg-park,0,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,,,
1509530.55678991,574152.232224099,13,FAC-24,Stallings Road Park - Town of Harrisburg,820,Municipal Park,"4050 Stallings Rd, 704-455-7275",Sun - Sat,6:30 am - 9pm,,https://www.harrisburgnc.org/departments/parks-recreation/parks-facilities/stallings-road-park,0,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,,,
1548976.03154054,590245.445608474,14,FAC-150,AT Allen Elementary School,820,School Park,"3939 Abilene Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,,Yes,
1541974.22754876,546426.755768992,15,FAC-151,Bethel Elementary School,820,School Park,"2425 Midland Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,,Yes,
1505087.55058408,624741.905486807,16,FAC-152,Charles E Boger Elementary School,820,School Park,"5150 Dove Field Ln, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,,
1573466.07893501,609882.466291703,17,FAC-156,Mt Pleasant Elementary School,820,School Park,"8555 North Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,,
1519735.37561908,628420.187172219,18,FAC-160,Royal Oaks Elementary School,820,School Park,"608 Dakota St, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,,,
1537238.68788929,610708.947578371,19,FAC-161,W M Irvin Elementary School,820,School Park,"1400 Gold Rush Dr, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,,,
1482049.39620116,615105.097742744,20,FAC-162,W R Odell Elementary School,820,School Park,"1215 Moss Farm St NW, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,
1508715.73886574,602808.480275661,21,FAC-165,Weddington Hills Elementary School,820,School Park,"4401 Weddington Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,,,
1571850.00933252,608151.869769305,22,FAC-172,Mt Pleasant Middle School,820,School Park,"8325 NC HWY 49 N, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,,
1528594.81410095,616361.44447545,23,FAC-176,Concord High School,820,School Park,"481 Burrage Rd NE, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,
1520265.46888303,605840.34224014,24,FAC-182,Cabarrus County Senior Center - Concord,820,County Park,"331 Concord Pkwy N, 704-920-3484",Mon - Fri,8am-9pm,,https://www.cabarruscounty.us/location/concord-senior-center,0,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,
1572901.19120324,603865.247355036,25,FAC-183,Cabarrus County Senior Center - Mt Pleasant,820,County Park,"8615 Park Dr, 704-436-8034",Mon - Fri,8am-5pm,,https://www.cabarruscounty.us/location/mount-pleasant-senior-center,0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,
1532699.99987022,639830.000310555,26,FAC-16,Lake Fisher Reservoir,820,Park,5090 Fisher Rd,Wed - Sun,7 - 3,,https://www.concordnc.gov/Departments/Parks-Recreation/Facilities/Lake-Fisher,0,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,,
1511049.99969918,636670.000068888,27,FAC-14,Kannapolis Dixie Youth Ballfield,820,Municipal Park,716 Pleasant Ave, , ,,,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,
1508680.90748855,635523.880313888,28,FAC-28,Walter Safrit Park - City of Kannapolis,820,Municipal Park,"1415 Bethpage Rd, 704-920-4343",Sun - Sat,Hours Vary,,http://www.kannapolisnc.gov/GovernmentDepartments/ParksRecreation/Parks/tabid/131/Default.aspx,0,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,,,
1526916.1511197,634111.810467429,29,FAC-15,Lake Concord  Reservoir,820,Park,2430 Centergrove Rd, , ,,,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,
1572029.99954012,619430.000510246,30,FAC-20,Mt Pleasant Reservoir,820,Municipal Park,8275 Mt Olive Rd, , ,,,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,
1535659.99928158,603909.999972224,31,FAC-17,Les Myers Park - City of Concord,820,Municipal Park,"338 Lawndale Ave SE, 704-920-5600",Sun - Sat,"Apr-Oct 8-9, Nov-Mar 8-7",21,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,0,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,,
1528119.99959783,602260.000401489,32,FAC-18,Marvin Caldwell Park - City of Concord,820,Municipal Park,"362 Georgia St SW, 704-920-5600",Sun - Sat,"Apr-Oct 8-9, Nov-Mar 8-7",24,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,0,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,,
1523529.99934543,609380.000105031,33,FAC-9,Gibson Ball Park - City of Concord,820,Municipal Park,"265 Ball Park Ct NW, 704-920-5600",Sun - Sat,Available by reservation,,https://www.concordnc.gov/Departments/Parks-Recreation/Facilities,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,
1501060.00040428,608170.000474513,34,FAC-13,James L. Dorton Park - City of Concord,820,Municipal Park,"5700 Poplar Tent Rd, 704-920-5600",Sun - Sat,"Apr-Oct 8-9, Nov-Mar 8-7",24,http://www.concordnc.gov/Departments/Parks-Recreation/Facilities,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,,
